nameseq,k1,k2,k3,k4,k5,label
non-promoter-1,1.9458999788461586,3.8138973579944175,5.341260494793462,6.028991962451998,6.214838488746853,promotor
non-promoter-2,1.9771710960377469,3.878415164718214,5.5218258429768845,6.0802740137340505,6.214838488746853,promotor
non-promoter-3,1.98691194736513,3.8846314166053872,5.420560020192075,6.054632988093024,6.266786540694905,promotor
non-promoter-4,1.9633423029285266,3.7912802153112106,5.219619476129704,5.916749814988364,6.188864462772827,promotor
non-promoter-5,1.973328639742789,3.87664379659226,5.420560020192075,6.0289919624519985,6.266786540694905,promotor
non-promoter-6,1.945808760616925,3.7999931039511305,5.183483362556626,5.6922655200610945,5.9776350795716535,promotor
non-promoter-7,1.9596503927258098,3.8557980220350077,5.333790995226589,6.028991962451998,6.188864462772827,promotor
non-promoter-8,1.965237843670264,3.8951136098815904,5.1362006094742245,5.727584590601653,6.013412839340009,promotor
non-promoter-9,1.9754317060458033,3.8816096666133904,5.249550210010723,5.968031866270415,6.188864462772827,promotor
non-promoter-10,1.9883036207569014,3.868419658168688,5.26069684952004,5.907071770088832,6.162890436798801,promotor
non-promoter-11,1.9961046521181633,3.8743816147602916,5.289363463526247,5.916749814988362,6.110942384850748,promotor
non-promoter-12,1.9316136509915922,3.7749237860408025,5.17727798286456,5.9230347508303245,6.188864462772827,promotor
non-promoter-13,1.925149198764209,3.7633743082448383,5.170250684612108,6.003350936810973,6.214838488746853,promotor
non-promoter-14,1.9803494290107928,3.879749859046178,5.344610653103467,5.968031866270416,6.136916410824775,promotor
non-promoter-15,1.8798351147588848,3.611742737134639,4.888746495276316,5.573738436755495,6.023216573134341,promotor
non-promoter-16,1.9908781429925868,3.851964627464628,5.330440836916584,6.054632988093023,6.240812514720879,promotor
non-promoter-17,1.998781899058905,3.9201136098815907,5.36866298892486,5.916749814988363,6.110942384850749,promotor
non-promoter-18,1.956797577182739,3.729153673475044,5.034934786689414,5.775473532826133,6.110942384850748,promotor
non-promoter-19,1.9773732457877882,3.8035036041594745,5.2128844258051545,5.8814307444478064,6.136916410824775,promotor
non-promoter-20,1.9417186609077042,3.830326329859922,5.154489766917974,5.794829622625197,6.049190599108366,promotor
non-promoter-21,1.9666928177357432,3.8476102466343374,5.279807925524178,5.94239084062939,6.188864462772827,promotor
non-promoter-22,1.9545651803501376,3.800227558871907,5.2121499765628325,6.028991962451997,6.162890436798801,promotor
non-promoter-23,1.9701533218853364,3.779749859046178,5.260696849520041,5.891108789347338,6.1369164108247745,promotor
non-promoter-24,1.9242696453526569,3.7524547223267835,5.197653178743507,5.916749814988364,6.240812514720878,promotor
non-promoter-25,1.9832995220211747,3.8409936839720773,5.203858558435571,5.958353821370883,6.214838488746853,promotor
non-promoter-26,1.8905483408117651,3.647321651805534,5.053550925765606,5.819190321726353,6.1369164108247745,promotor
non-promoter-27,1.9527243751002783,3.8114891606829304,5.083481659646623,5.804507667524728,6.1369164108247745,promotor
non-promoter-28,1.994446313862805,3.8733334517714617,5.264047007830046,5.871752699548273,6.075164625082392,promotor
non-promoter-29,1.9407241610788097,3.7343598798178457,5.214678216312448,5.968031866270415,6.188864462772827,promotor
non-promoter-30,1.9357887327199543,3.7771668463418413,5.211328058002445,5.907071770088834,6.188864462772827,promotor
non-promoter-31,1.9856263738161597,3.8386972026068733,5.207208716745576,5.871752699548276,6.110942384850748,promotor
non-promoter-32,1.9771710960377469,3.854461264217375,5.420560020192075,6.044954943193492,6.214838488746853,promotor
non-promoter-33,1.9496566290776831,3.807569390160961,5.227910894256965,5.968031866270416,6.188864462772827,promotor
